iter	RMSE
0	6.877135295
1	6.354958012
2	5.897761372
3	5.491820085
4	5.139308849
5	4.828787729
6	4.562865321
7	4.331432725
8	4.131841025
9	3.958393967
10	3.810575867
11	3.680094822
12	3.566452096
13	3.471909838
14	3.384438368
15	3.314047294
16	3.24910344
17	3.198876345
18	3.148856127
19	3.106653634
20	3.072150439
21	3.041122323
22	3.011670689
23	2.989068953
24	2.968000935
25	2.950463583
26	2.934644787
27	2.91877689
28	2.904954804
29	2.8920968
30	2.882919507
31	2.869821817
32	2.860375862
33	2.853419968
34	2.844084724
35	2.835238585
36	2.826342157
37	2.819376018
38	2.811314396
39	2.805176851
40	2.79908735
41	2.792557461
42	2.786750316
43	2.781218065
44	2.776006262
45	2.77051253
46	2.765332628
47	2.760883103
48	2.756833005
49	2.751767635
50	2.747204578
51	2.742753844
52	2.738952591
53	2.735842378
54	2.732019049
55	2.727486899
56	2.724182707
57	2.719610193
58	2.715916661
59	2.711293177
60	2.707911385
61	2.704192026
62	2.701250688
63	2.698303835
64	2.695319106
65	2.692993006
66	2.69057671
67	2.687162615
68	2.684097246
69	2.680949959
70	2.678163183
71	2.675722852
72	2.673002548
73	2.670650178
74	2.667625831
75	2.665527424
76	2.663174367
77	2.660700704
78	2.658772261
79	2.65675231
80	2.654343985
81	2.652202891
82	2.649985243
83	2.647967301
84	2.646125616
85	2.644267725
86	2.642278264
87	2.640217598
88	2.638298039
89	2.636805753
90	2.635149567
91	2.633021757
92	2.631552246
93	2.629647849
94	2.628219212
95	2.626635085
96	2.624992783
97	2.623679577
98	2.622140329
99	2.620648347
100	2.618838868
101	2.617435109
102	2.616159299
103	2.613924658
104	2.612384505
105	2.611106884
106	2.609418218
107	2.608186472
108	2.606497606
109	2.605374348
110	2.604156623
111	2.603067658
112	2.601628937
113	2.600346817
114	2.599208569
115	2.597993021
116	2.596531154
117	2.595031726
118	2.593896466
119	2.592530703
120	2.590035893
121	2.58850649
122	2.587542896
123	2.586490539
124	2.585417831
125	2.584310904
126	2.583391735
127	2.581735608
128	2.580288697
129	2.579264195
130	2.577669124
131	2.576320806
132	2.574801556
133	2.573960545
134	2.57276977
135	2.571689519
136	2.570713082
137	2.569406018
138	2.567867344
139	2.56671962
140	2.565772114
141	2.564801098
142	2.564119772
143	2.563343171
144	2.561882757
145	2.560381036
146	2.559421985
147	2.558520742
148	2.557833109
149	2.556443481
150	2.555574741
151	2.554573116
152	2.553746924
153	2.553128426
154	2.551610726
155	2.550367382
156	2.549454102
157	2.548581834
158	2.547666255
159	2.546922892
160	2.546166245
161	2.545062999
162	2.544306545
163	2.543690538
164	2.542744016
165	2.541687667
166	2.541003521
167	2.539902747
168	2.539251573
169	2.538075621
170	2.53664854
171	2.535458795
172	2.534076969
173	2.533250186
174	2.532606957
175	2.531777202
176	2.530103856
177	2.529328014
178	2.528738406
179	2.527294005
180	2.526709652
181	2.526087351
182	2.525056734
183	2.524338322
184	2.523207977
185	2.521941685
186	2.520968467
187	2.52038712
188	2.519432926
189	2.518838783
190	2.518262311
191	2.51758882
192	2.517000881
193	2.515826594
194	2.514930385
195	2.514229548
196	2.513709854
197	2.512864023
198	2.512085427
199	2.511328821
200	2.510363249
201	2.509800603
202	2.509112746
203	2.508625281
204	2.508049224
205	2.507417973
206	2.506542386
207	2.505732486
208	2.505155825
209	2.50457909
210	2.503943832
211	2.503240338
212	2.502260543
213	2.50163961
214	2.501160292
215	2.499569251
216	2.498544498
217	2.497566916
218	2.496068722
219	2.495121849
220	2.494605891
221	2.494032278
222	2.493328402
223	2.492630928
224	2.492095603
225	2.491285533
226	2.490546957
227	2.489825676
228	2.488940182
229	2.488241583
230	2.48716328
231	2.486650271
232	2.485898146
233	2.485100924
234	2.484401726
235	2.483810447
236	2.483365036
237	2.482449239
238	2.48167285
239	2.480581413
240	2.479605786
241	2.47884873
242	2.478074402
243	2.477082425
244	2.47636971
245	2.475012236
246	2.474213127
247	2.473783086
248	2.472951266
249	2.47248253
250	2.471611812
251	2.47108153
252	2.470614395
253	2.469857197
254	2.468946038
255	2.468097042
256	2.467709428
257	2.466930809
258	2.465988863
259	2.46553376
260	2.464587068
261	2.464143299
262	2.463834828
263	2.462524285
264	2.461675525
265	2.460932519
266	2.460037798
267	2.458817806
268	2.457959824
269	2.457479091
270	2.456341529
271	2.455701607
272	2.454920089
273	2.454431689
274	2.453552359
275	2.452790156
276	2.452208907
277	2.450975759
278	2.450546861
279	2.44964808
280	2.448223365
281	2.447879792
282	2.446408774
283	2.446025015
284	2.44531903
285	2.444147567
286	2.443820778
287	2.442690474
288	2.442120422
289	2.44137648
290	2.440704034
291	2.440096593
292	2.439546106
293	2.438784188
294	2.43847349
295	2.437590529
296	2.436526252
297	2.43571274
298	2.434748728
299	2.434519069
300	2.433854749
301	2.433375771
302	2.432503742
303	2.431460199
304	2.430879612
305	2.429442665
306	2.428642293
307	2.427747862
308	2.427306879
309	2.426773466
310	2.425718403
311	2.425396622
312	2.424322455
313	2.423519399
314	2.422555216
315	2.421808001
316	2.420694947
317	2.419717468
318	2.418763831
319	2.41766164
320	2.416613411
321	2.416080088
322	2.415151039
323	2.414417682
324	2.414141441
325	2.413460913
326	2.412589658
327	2.411600243
328	2.410370242
329	2.4090159
330	2.408513189
331	2.407783659
332	2.40703225
333	2.406140685
334	2.405105497
335	2.404463642
336	2.403614974
337	2.403012024
338	2.402029676
339	2.401656265
340	2.401030847
341	2.400085627
342	2.399183381
343	2.398466335
344	2.397681552
345	2.396601249
346	2.395990903
347	2.395592343
348	2.395214935
349	2.394692273
350	2.394191609
351	2.393645969
352	2.392865194
353	2.392186261
354	2.391415219
355	2.390343201
356	2.389884012
357	2.389059391
358	2.388197146
359	2.387419367
360	2.386763316
361	2.386002332
362	2.385281155
363	2.384417408
364	2.383691492
365	2.382422431
366	2.381501688
367	2.380534491
368	2.379808797
369	2.37900893
370	2.378570562
371	2.377232894
372	2.376264169
373	2.375798956
374	2.374882205
375	2.37391853
376	2.37346504
377	2.372486605
378	2.371644307
379	2.371025449
380	2.370610639
381	2.369874123
382	2.369217017
383	2.3689934
384	2.368169226
385	2.367474847
386	2.36676325
387	2.365794693
388	2.365508765
389	2.364875199
390	2.364109971
391	2.363451103
392	2.362723426
393	2.362021166
394	2.361401735
395	2.360504372
396	2.360095728
397	2.35947432
398	2.358558718
399	2.358042017
400	2.357160281
401	2.356347898
402	2.355681655
403	2.35489672
404	2.354361199
405	2.353222049
406	2.352573833
407	2.351588427
408	2.350740474
409	2.349965875
410	2.349550476
411	2.349283785
412	2.348464277
413	2.347749392
414	2.34693377
415	2.346465185
416	2.346198422
417	2.34546546
418	2.344468126
419	2.344172249
420	2.343413639
421	2.34279225
422	2.341835973
423	2.341382173
424	2.340752539
425	2.339817228
426	2.339123003
427	2.338600604
428	2.337850576
429	2.337214588
430	2.336560342
431	2.336071778
432	2.33507525
433	2.334108449
434	2.333814832
435	2.33310503
436	2.33242894
437	2.331550503
438	2.331203452
439	2.330830986
440	2.330608029
441	2.329798518
442	2.329123151
443	2.328339632
444	2.32769985
445	2.326881861
446	2.32621634
447	2.325311531
448	2.324831852
449	2.324013866
450	2.323670817
451	2.323048641
452	2.322653656
453	2.321932551
454	2.321356209
455	2.321025899
456	2.320727542
457	2.320115731
458	2.319340381
459	2.318621269
460	2.318135232
461	2.317264773
462	2.316603016
463	2.315891481
464	2.315461734
465	2.314582616
466	2.313629202
467	2.31315786
468	2.312305325
469	2.311564646
470	2.310782477
471	2.309985282
472	2.30949633
473	2.308909749
474	2.308615197
475	2.308148667
476	2.307889284
477	2.30728785
478	2.30689111
479	2.306233879
480	2.305620742
481	2.305041087
482	2.303893349
483	2.303350702
484	2.302912995
485	2.302165928
486	2.301539695
487	2.3009671
488	2.300274984
489	2.299682152
490	2.298951589
491	2.298329306
492	2.297487891
493	2.297038844
494	2.296486971
495	2.295569008
496	2.294899048
497	2.294260491
498	2.293341133
499	2.293009959
500	2.292296839
501	2.291942229
502	2.291669237
503	2.290918116
504	2.290518661
505	2.289978012
506	2.289335985
507	2.288975937
508	2.288680951
509	2.288010352
510	2.287298014
511	2.286525593
512	2.286071392
513	2.285354556
514	2.284719886
515	2.28433826
516	2.28350577
517	2.282966392
518	2.282375445
519	2.281830248
520	2.281414118
521	2.280698935
522	2.279800046
523	2.279443595
524	2.279034273
525	2.278504759
526	2.278080694
527	2.277709289
528	2.277335864
529	2.276306259
530	2.275653956
531	2.275329487
532	2.275024157
533	2.27439147
534	2.27415796
535	2.273694391
536	2.273266142
537	2.272512087
538	2.27179832
539	2.271479011
540	2.271011752
541	2.270513727
542	2.269729294
543	2.268955162
544	2.26828584
545	2.267558554
546	2.266891975
547	2.266241042
548	2.265320646
549	2.264457791
550	2.263905084
551	2.263649547
552	2.263064984
553	2.262447443
554	2.262064362
555	2.261588653
556	2.26108181
557	2.260343783
558	2.259779682
559	2.259166832
560	2.258792763
561	2.258068886
562	2.257708472
563	2.256977714
564	2.256223961
565	2.255338462
566	2.254839522
567	2.254305676
568	2.253708645
569	2.253297804
570	2.252289775
571	2.251784925
572	2.251440027
573	2.251142997
574	2.250598109
575	2.250263589
576	2.249722836
577	2.24955152
578	2.249093643
579	2.248575403
580	2.247707433
581	2.247536644
582	2.246659733
583	2.246133977
584	2.245287665
585	2.244858937
586	2.244011639
587	2.243503167
588	2.242996413
589	2.242310005
590	2.241918373
591	2.241136537
592	2.240562856
593	2.240043981
594	2.239483419
595	2.239078444
596	2.238849032
597	2.238193793
598	2.237860328
599	2.236904353
600	2.236541433
601	2.2361829
602	2.235632004
603	2.235210879
604	2.23485801
605	2.234349241
606	2.234158552
607	2.23372953
608	2.233071134
609	2.23268971
610	2.232203528
611	2.231689905
612	2.231242711
613	2.230646569
614	2.230067683
615	2.229512766
616	2.229004872
617	2.228413555
618	2.227770986
619	2.227360056
620	2.226704752
621	2.226252854
622	2.225459217
623	2.224709769
624	2.224088634
625	2.223553633
626	2.223175368
627	2.222705889
628	2.222318086
629	2.221611025
630	2.221191899
631	2.221016661
632	2.220615152
633	2.21998539
634	2.219382938
635	2.218957636
636	2.21859806
637	2.218277711
638	2.217662392
639	2.21702735
640	2.216736672
641	2.216116091
642	2.215730275
643	2.21548168
644	2.215129895
645	2.214024739
646	2.213536188
647	2.213031383
648	2.212539337
649	2.211778802
650	2.211313472
651	2.210970548
652	2.210443818
653	2.209787467
654	2.209250934
655	2.20869047
656	2.208140471
657	2.207855898
658	2.207467072
659	2.207032742
660	2.206690244
661	2.206193278
662	2.205650965
663	2.205072608
664	2.204932758
665	2.204425983
666	2.204101478
667	2.203496806
668	2.202784744
669	2.202460046
670	2.201840354
671	2.201618889
672	2.201168096
673	2.200716661
674	2.200354062
675	2.200104782
676	2.199792496
677	2.199219808
678	2.198575543
679	2.198142664
680	2.197487702
681	2.196878138
682	2.196530109
683	2.196106767
684	2.195727251
685	2.1950556
686	2.194408107
687	2.194236564
688	2.193953382
689	2.193496028
690	2.192789455
691	2.192181733
692	2.191826687
693	2.191608986
694	2.191019522
695	2.190280285
696	2.18975975
697	2.189349679
698	2.18884538
699	2.188247047
700	2.187682097
701	2.187012531
702	2.18635454
703	2.186098773
704	2.185328154
705	2.184568451
706	2.183672364
707	2.183288294
708	2.182877707
709	2.182277487
710	2.181596638
711	2.181380774
712	2.180891557
713	2.180499374
714	2.180355193
715	2.179968861
716	2.179480091
717	2.179054861
718	2.178486872
719	2.178086157
720	2.177816726
721	2.177120217
722	2.176417789
723	2.176052332
724	2.175403514
725	2.175018618
726	2.174461806
727	2.174108425
728	2.173648532
729	2.173331841
730	2.17262407
731	2.172387369
732	2.17208981
733	2.171821498
734	2.171041433
735	2.170388099
736	2.169958741
737	2.169352607
738	2.169134597
739	2.168641322
740	2.16824506
741	2.167736632
742	2.167476878
743	2.16694018
744	2.166541044
745	2.166272349
746	2.165981171
747	2.165450905
748	2.165263128
749	2.164635047
750	2.163894244
