iter	Passed	Remaining
399	63593	90779
400	63803	90692
401	64027	90626
402	64198	90482
403	64358	90325
404	64531	90184
405	64696	90033
406	64829	89837
407	65026	89729
408	65256	89668
409	65443	89546
410	65627	89419
411	65776	89245
412	65945	89097
413	66100	88932
414	66340	88879
415	66571	88814
416	66762	88696
417	66953	88577
418	67165	88484
419	67319	88316
420	67516	88204
421	67777	88175
422	67969	88055
423	68128	87891
424	68280	87720
425	68460	87584
426	68598	87394
427	68726	87192
428	68869	87009
429	69003	86816
430	69130	86613
431	69260	86414
432	69389	86216
433	69523	86022
434	69655	85828
435	69790	85637
436	69929	85451
437	70060	85255
438	70191	85061
439	70326	84871
440	70518	84749
441	70725	84646
442	70904	84509
443	71096	84387
444	71300	84279
445	71463	84121
446	71596	83929
447	71816	83838
448	72026	83736
449	72199	83590
450	72383	83458
451	72540	83293
452	72694	83125
453	72855	82965
454	73050	82843
455	73275	82756
456	73456	82618
457	73636	82479
458	73827	82352
459	73998	82202
460	74144	82025
461	74368	81934
462	74568	81815
463	74749	81677
464	74925	81531
465	75103	81388
466	75285	81250
467	75441	81082
468	75616	80937
469	75781	80779
470	75933	80608
471	76086	80438
472	76224	80253
473	76354	80059
474	76487	79868
475	76624	79683
476	76757	79492
477	76892	79305
478	77029	79119
479	77161	78929
480	77305	78751
481	77450	78575
482	77581	78384
483	77714	78196
484	77847	78007
485	77988	77827
486	78118	77637
487	78258	77456
488	78404	77282
489	78535	77093
490	78667	76905
491	78796	76714
492	78948	76545
493	79075	76354
494	79213	76173
495	79345	75986
496	79478	75800
497	79609	75612
498	79833	75513
499	80025	75383
500	80199	75236
501	80363	75080
502	80538	74934
503	80693	74770
504	80824	74582
505	80958	74398
506	81090	74212
507	81278	74079
508	81520	73993
509	81696	73847
510	81871	73700
511	82029	73537
512	82255	73436
513	82393	73256
514	82569	73110
515	82809	73020
516	83062	72940
517	83245	72799
518	83414	72646
519	83577	72487
520	83726	72316
521	83958	72217
522	84210	72134
523	84381	71982
524	84544	71822
525	84715	71669
526	84868	71501
527	85008	71323
528	85277	71252
529	85468	71115
530	85796	71093
531	86085	71036
532	86258	70884
533	86421	70723
534	86552	70536
535	86690	70355
536	86829	70175
537	86973	69998
538	87111	69818
539	87280	69663
540	87418	69482
541	87547	69295
542	87695	69123
543	87882	68981
544	88075	68844
545	88311	68740
546	88498	68598
547	88654	68432
548	88811	68266
549	88978	68109
550	89117	67929
551	89250	67746
552	89460	67621
553	89667	67493
554	89836	67336
555	90023	67193
556	90183	67030
557	90324	66852
558	90472	66681
559	90619	66508
560	90835	66386
561	91014	66236
562	91195	66088
563	91355	65924
564	91533	65774
565	91660	65587
566	91788	65401
567	91987	65265
568	92200	65140
569	92367	64981
570	92520	64812
571	92685	64652
572	92839	64485
573	92972	64302
574	93109	64124
575	93238	63939
576	93368	63755
577	93495	63570
578	93619	63383
579	93746	63198
580	93877	63015
581	94003	62830
582	94127	62643
583	94248	62455
584	94373	62270
585	94498	62084
586	94618	61897
587	94747	61714
588	94958	61585
589	95118	61424
590	95301	61277
591	95455	61110
592	95616	60949
593	95764	60779
594	95910	60609
595	96144	60493
596	96376	60376
597	96591	60248
598	96760	60091
599	96966	59957
600	97123	59793
601	97257	59614
602	97576	59549
603	97791	59419
604	97954	59258
605	98102	59088
606	98270	58929
607	98428	58765
608	98557	58584
609	98714	58419
610	98918	58282
611	99099	58131
612	99283	57982
613	99437	57816
614	99579	57642
615	99712	57463
616	99850	57288
617	99995	57117
618	100126	56937
619	100257	56758
620	100451	56614
621	100650	56474
622	100880	56350
623	101125	56234
624	101325	56093
625	101571	55978
626	101887	55899
627	102091	55760
628	102280	55612
629	102486	55472
630	102654	55312
631	102856	55171
632	103046	55023
633	103334	54927
634	103572	54803
635	103789	54669
636	104049	54556
637	104341	54460
638	104660	54377
639	105183	54399
640	105411	54267
641	105577	54104
642	105781	53960
643	106071	53859
644	106262	53707
645	106426	53542
646	106617	53391
647	106782	53226
648	106926	53051
649	107218	52949
650	107397	52791
651	107568	52629
652	107732	52463
653	107906	52303
654	108056	52130
655	108262	51985
656	108483	51847
657	108671	51693
658	108851	51534
659	109013	51368
660	109229	51227
661	109392	51060
662	109524	50880
663	109654	50698
664	109792	50520
665	109920	50339
666	110046	50156
667	110185	49979
668	110325	49803
669	110454	49621
670	110590	49444
671	110724	49265
672	110860	49088
673	110991	48908
674	111138	48736
675	111369	48600
676	111549	48442
677	111740	48289
678	111903	48123
679	112102	47973
680	112323	47832
681	112509	47676
682	112754	47545
683	112934	47386
684	113111	47226
685	113271	47058
686	113435	46893
687	113572	46716
688	113718	46543
689	113953	46407
690	114127	46245
691	114303	46084
692	114473	45921
693	114634	45754
694	114772	45578
695	114919	45406
696	115050	45228
697	115187	45051
698	115325	44876
699	115465	44701
700	115594	44523
701	115720	44343
702	115882	44177
703	116134	44045
704	116278	43872
705	116418	43698
706	116547	43520
707	116676	43341
708	116811	43165
709	116959	42994
710	117103	42822
711	117242	42648
712	117379	42473
713	117515	42298
714	117646	42122
715	117777	41945
716	117971	41792
717	118217	41656
718	118419	41504
719	118576	41337
720	118765	41180
721	118911	41009
722	119038	40832
723	119200	40666
724	119474	40538
725	119742	40408
726	119899	40241
727	120050	40071
728	120204	39903
729	120405	39750
730	120625	39603
731	120851	39458
732	121052	39304
733	121212	39138
734	121383	38974
735	121524	38802
736	121645	38623
737	121768	38444
738	121897	38268
739	122022	38090
740	122289	37957
741	122521	37813
742	122679	37646
743	122878	37491
744	123038	37324
745	123204	37159
746	123337	36984
747	123558	36836
748	123948	36737
749	124142	36580
750	124312	36416
751	124471	36248
752	124647	36086
753	124819	35922
754	125035	35771
755	125213	35609
756	125406	35451
757	125569	35285
758	125735	35119
759	125880	34948
760	126018	34775
761	126222	34620
762	126435	34467
763	126621	34307
764	126783	34140
765	126940	33972
766	127085	33801
767	127218	33626
768	127401	33465
769	127609	33310
770	127776	33145
771	127944	32980
772	128097	32811
773	128277	32649
774	128410	32475
775	128542	32301
776	128681	32128
777	128807	31953
778	128928	31777
779	129060	31603
780	129195	31430
781	129324	31256
782	129463	31084
783	129587	30909
784	129711	30734
785	129840	30560
786	129963	30385
787	130109	30215
788	130330	30063
789	130598	29921
790	130804	29765
791	131003	29608
792	131243	29459
793	131405	29293
794	131525	29117
795	131757	28966
796	131988	28815
797	132153	28649
798	132316	28483
799	132472	28315
800	132624	28147
801	132756	27974
802	132958	27816
803	133170	27661
804	133381	27504
805	133588	27347
806	133771	27185
807	133927	27017
808	134053	26843
809	134284	26691
810	134481	26531
811	134651	26366
812	134822	26201
813	134998	26037
814	135173	25873
815	135317	25703
816	135444	25530
817	135598	25362
818	135748	25193
819	136007	25045
820	136216	24887
821	136406	24725
822	136571	24559
823	136750	24396
824	136891	24225
825	137037	24056
